,minimal,modern,natural,romantic,casual,vintage,individuality,useful
ENFJ,1.5040773967762742,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.5040773967762742,1.5040773967762742,1.5040773967762742
ENTJ,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.9162907318741551,1.0986122886681098,0.6931471805599453,0.4054651081081644,1.252762968495368
INTP,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.3862943611198906
INTP,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.9162907318741551,1.0986122886681098,1.0986122886681098
INTP,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.3862943611198906,1.5040773967762742,0.6931471805599453,1.5040773967762742
ISFP,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.5040773967762742,1.6094379124341003,1.5040773967762742,1.5040773967762742,1.5040773967762742
ISFP,1.252762968495368,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.4054651081081644,0.9162907318741551,0.0,1.0986122886681098
ESTJ,1.3862943611198906,1.6094379124341003,1.0986122886681098,1.252762968495368,0.9162907318741551,1.0986122886681098,0.0,1.5040773967762742
ESTJ,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.3862943611198906,1.252762968495368
ISTP,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.9162907318741551,0.0,1.252762968495368
ISTP,1.3862943611198906,1.6094379124341003,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.4054651081081644,1.5040773967762742
ISTP,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.9162907318741551,1.3862943611198906,0.9162907318741551,1.3862943611198906
INFP,1.252762968495368,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.5040773967762742,1.3862943611198906
ISTJ,1.0986122886681098,1.3862943611198906,0.0,0.0,0.4054651081081644,0.6931471805599453,0.0,1.0986122886681098
INTJ,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.4054651081081644,1.6094379124341003,1.0986122886681098,1.3862943611198906,1.6094379124341003
INTJ,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.9162907318741551,0.6931471805599453,1.0986122886681098,1.252762968495368
ENFP,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.5040773967762742,0.9162907318741551,1.252762968495368,0.0,1.5040773967762742
ISFJ,1.3862943611198906,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.0986122886681098,0.9162907318741551,1.6094379124341003
