real_mbti,minimal,modern,natural,romantic,casual,vintage,individuality,useful
INTP,1.6094379124341003,1.6094379124341003,1.0986122886681098,1.252762968495368,1.0986122886681098,1.0986122886681098,0.9162907318741551,1.3862943611198906
INFP,1.3862943611198906,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.4054651081081644,0.9162907318741551,1.5040773967762742
ISTP,1.3862943611198906,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.0,0.9162907318741551,1.5040773967762742
INFJ,1.6094379124341003,1.6094379124341003,1.3862943611198906,0.9162907318741551,0.9162907318741551,0.0,0.4054651081081644,1.3862943611198906
ESTP,1.5040773967762742,1.6094379124341003,1.3862943611198906,1.0986122886681098,0.9162907318741551,0.0,0.4054651081081644,1.3862943611198906
ENTJ,1.252762968495368,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.9162907318741551,0.6931471805599453,0.0,1.5040773967762742
ESFJ,1.252762968495368,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.252762968495368,0.9162907318741551,0.6931471805599453,1.3862943611198906
ENFJ,1.5040773967762742,1.6094379124341003,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.4054651081081644,0.4054651081081644,1.5040773967762742
INTP,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.0986122886681098
ESFP,1.6094379124341003,1.6094379124341003,0.0,0.0,1.0986122886681098,0.4054651081081644,0.9162907318741551,1.252762968495368
ISFJ,1.252762968495368,1.3862943611198906,1.3862943611198906,1.252762968495368,1.3862943611198906,1.252762968495368,1.0986122886681098,1.3862943611198906
ESTJ,1.0986122886681098,1.6094379124341003,1.6094379124341003,1.0986122886681098,0.0,1.0986122886681098,0.0,1.0986122886681098
ENFP,1.5040773967762742,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.4054651081081644,0.6931471805599453,0.0,1.0986122886681098
ENTP,1.6094379124341003,1.6094379124341003,1.3862943611198906,1.252762968495368,1.5040773967762742,1.3862943611198906,1.3862943611198906,1.5040773967762742
ESFP,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.9162907318741551,0.6931471805599453,0.4054651081081644,1.252762968495368
ENTJ,1.5040773967762742,1.3862943611198906,1.0986122886681098,0.9162907318741551,1.252762968495368,1.252762968495368,1.252762968495368,1.252762968495368
INTP,1.5040773967762742,1.6094379124341003,1.0986122886681098,0.9162907318741551,0.9162907318741551,1.252762968495368,0.6931471805599453,1.252762968495368
ENTP,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.5040773967762742,1.5040773967762742,1.5040773967762742,1.252762968495368
ESFP,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.252762968495368,1.3862943611198906,1.252762968495368,0.9162907318741551,1.252762968495368
INFJ,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.4054651081081644,1.0986122886681098,1.6094379124341003,0.0,1.5040773967762742
ISFP,0.9162907318741551,0.6931471805599453,0.0,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341003,0.4054651081081644
INTP,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.3862943611198906,1.252762968495368,1.5040773967762742,0.9162907318741551,1.5040773967762742
ENFP,1.3862943611198906,1.0986122886681098,1.6094379124341003,1.3862943611198906,0.9162907318741551,1.6094379124341003,0.0,1.252762968495368
ESFJ,1.6094379124341003,1.6094379124341003,0.0,0.0,0.9162907318741551,0.0,0.0,1.5040773967762742
ESTP,1.252762968495368,1.0986122886681098,1.3862943611198906,1.0986122886681098,0.9162907318741551,1.5040773967762742,0.0,1.252762968495368
ENFJ,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.9162907318741551,0.9162907318741551,1.3862943611198906
ENFP,1.3862943611198906,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098
